,year,billionaires,country,net_worth,country_population,urban_population,gdp_usd_mil,gdp_growth,gdp_per_capita,trade_percent_gdp,co2_emmissions,billionaires_per_mil_population
0,2011.0,2,,2.4,,,,,,,,
1,2015.0,1,Algeria,3.1,39728020.0,28146508.0,165979.28,3.7,4177.89,59.7,263140.01,0.0252
2,2016.0,1,Algeria,3.1,40551398.0,28977623.0,171290.62,3.2,4224.04,55.93,265359.99,0.0247
3,2017.0,1,Algeria,3.1,41389174.0,29821728.0,173517.39,1.3,4192.34,55.32,268899.99,0.0242
4,2018.0,1,Algeria,4.0,42228415.0,30670076.0,175426.09,1.1,4154.22,58.07,278030.0,0.0237
5,2019.0,1,Algeria,4.0,43053054.0,31510100.0,177180.35,1.0,4115.4,51.84,282010.01,0.0232
6,2020.0,1,Algeria,4.5,43851043.0,32332690.0,168144.15,-5.1,3834.44,45.84,282010.01,0.0228
7,2021.0,1,Algeria,4.8,44616626.0,33132753.0,174613.99,3.85,3913.65,50.25,282010.01,0.0224
8,2022.0,1,Algeria,5.1,44616626.0,33132753.0,174613.99,3.85,3913.65,50.25,282010.01,0.0224
9,2015.0,1,Angola,3.3,27884380.0,17691524.0,87219.29,0.94,3127.89,62.89,87360.0,0.0359
10,2016.0,1,Angola,3.0,28842482.0,18502164.0,84969.03,-2.58,2945.97,53.37,85910.0,0.0347
11,2017.0,1,Angola,3.1,29816769.0,19332895.0,84841.58,-0.15,2845.43,52.26,81010.0,0.0335
12,2018.0,1,Angola,2.6,30809787.0,20184724.0,83724.8,-1.32,2717.47,66.38,75240.0,0.0325
13,2019.0,1,Angola,2.6,31825299.0,21061028.0,83138.73,-0.7,2612.35,57.83,79680.0,0.0314
14,2020.0,1,Angola,1.8,32866268.0,21962884.0,78566.1,-5.5,2390.48,56.86,79680.0,0.0304
15,2010.0,1,Argentina,2.0,40788453.0,37055902.0,552738.16,10.13,13551.34,34.97,339609.99,0.0245
16,2011.0,2,Argentina,6.5,41261490.0,37543830.0,585924.29,6.0,14200.27,35.21,350250.0,0.0485
17,2012.0,4,Argentina,9.6,41733271.0,38027774.0,579910.25,-1.03,13895.63,30.53,355299.99,0.0958
18,2013.0,4,Argentina,9.6,42202935.0,38509756.0,593858.97,2.41,14071.51,29.33,364480.01,0.0948
19,2014.0,3,Argentina,4.6,42669500.0,38990109.0,578937.57,-2.51,13567.95,28.41,363149.99,0.0703
20,2015.0,5,Argentina,11.15,43131966.0,39467043.0,594749.29,2.73,13789.06,22.49,370000.0,0.1159
21,2016.0,4,Argentina,9.2,43590368.0,39940546.0,582376.55,-2.08,13360.21,26.09,373329.99,0.0918
22,2017.0,7,Argentina,12.4,44044811.0,40410674.0,598790.85,2.82,13595.04,25.29,377209.99,0.1589
